Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1681422738.668	   298.973	0	296	0	0		 ./hcov-panel 7d70fd88-fc05-4c2b-aa6d-c62afdc7e6b3 zr10237 /home/michaeljon/pipeline/fastq/zr10237/zr10237_4_S43_R1_001.fastq.gz /home/michaeljon/pipeline/fastq/zr10237/zr10237_4_S43_R2_001.fastq.gz
4	:	1681422738.673	   439.168	0	296	0	0		 ./hcov-panel 664543c0-5c0d-411c-9fc7-d534455e388d zr10237 /home/michaeljon/pipeline/fastq/zr10237/zr10237_6_S59_R1_001.fastq.gz /home/michaeljon/pipeline/fastq/zr10237/zr10237_6_S59_R2_001.fastq.gz
5	:	1681423037.645	   493.052	0	296	0	0		 ./hcov-panel 5c34f0a7-ff58-418e-9f5d-7f0fa833ffb9 zr10237 /home/michaeljon/pipeline/fastq/zr10237/zr10237_7_S68_R1_001.fastq.gz /home/michaeljon/pipeline/fastq/zr10237/zr10237_7_S68_R2_001.fastq.gz
3	:	1681422738.670	  1302.355	0	296	0	0		 ./hcov-panel 39e0a213-d28c-4000-a415-c2633498bc5b zr10237 /home/michaeljon/pipeline/fastq/zr10237/zr10237_5_S49_R1_001.fastq.gz /home/michaeljon/pipeline/fastq/zr10237/zr10237_5_S49_R2_001.fastq.gz
7	:	1681423530.700	   546.848	0	296	0	0		 ./hcov-panel 442dc143-c4ae-4db4-a2f1-29683789fe6b zr10237 /home/michaeljon/pipeline/fastq/zr10237/zr10237_12_S65_R1_001.fastq.gz /home/michaeljon/pipeline/fastq/zr10237/zr10237_12_S65_R2_001.fastq.gz
9	:	1681424077.552	   103.323	0	296	0	0		 ./hcov-panel 9b554199-9adc-4394-a558-9770d1cf9f24 zr10237 /home/michaeljon/pipeline/fastq/zr10237/zr10237_14_S33_R1_001.fastq.gz /home/michaeljon/pipeline/fastq/zr10237/zr10237_14_S33_R2_001.fastq.gz
6	:	1681423177.846	  2973.580	0	296	0	0		 ./hcov-panel 0e87b095-6d71-42d0-bf01-ab27460c8ddd zr10237 /home/michaeljon/pipeline/fastq/zr10237/zr10237_11_S56_R1_001.fastq.gz /home/michaeljon/pipeline/fastq/zr10237/zr10237_11_S56_R2_001.fastq.gz
8	:	1681424041.029	  3413.845	0	296	0	0		 ./hcov-panel 5cf7dae5-f6e0-4bda-bd4f-5973c491ec31 zr10237 /home/michaeljon/pipeline/fastq/zr10237/zr10237_13_S72_R1_001.fastq.gz /home/michaeljon/pipeline/fastq/zr10237/zr10237_13_S72_R2_001.fastq.gz
1	:	1681422738.666	  4895.380	0	296	0	0		 ./hcov-panel 8b403008-8d6a-483f-acb4-0bfb7b7a72fd zr10237 /home/michaeljon/pipeline/fastq/zr10237/zr10237_3_S74_R1_001.fastq.gz /home/michaeljon/pipeline/fastq/zr10237/zr10237_3_S74_R2_001.fastq.gz
10	:	1681424180.880	  4139.862	0	296	0	0		 ./hcov-panel 50beba85-7a40-4a57-bd17-4f11fb8c9604 zr10237 /home/michaeljon/pipeline/fastq/zr10237/zr10237_15_S35_R1_001.fastq.gz /home/michaeljon/pipeline/fastq/zr10237/zr10237_15_S35_R2_001.fastq.gz
