Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1686608439.604	    16.659	0	288	0	0		 ./hcov-panel 36d3bf31-c1b5-4d4b-a055-f9faa52f645c /home/michaeljon/pipeline/fastq/Chip12/Sample_11_IonXpress_011_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
4	:	1686608439.609	    19.828	0	288	0	0		 ./hcov-panel ee41d70e-643f-49ab-8a44-4e7e211394bb /home/michaeljon/pipeline/fastq/Chip12/Sample_13_IonXpress_013_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
3	:	1686608439.606	    83.600	0	288	0	0		 ./hcov-panel 56fcc403-fcbb-4a37-b6cc-0eb827f6f75e /home/michaeljon/pipeline/fastq/Chip12/Sample_12_IonXpress_012_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
5	:	1686608456.269	   220.671	0	288	0	0		 ./hcov-panel 7b3f707c-00b3-4566-a3c1-14609cac9f99 /home/michaeljon/pipeline/fastq/Chip12/Sample_14_IonXpress_014_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
6	:	1686608459.449	   389.083	0	288	0	0		 ./hcov-panel 751fd888-c33c-4d59-9943-d53259ade938 /home/michaeljon/pipeline/fastq/Chip12/Sample_15_IonXpress_015_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
9	:	1686608848.537	   109.368	0	288	0	0		 ./hcov-panel 82a67a37-50e6-4e05-8c9e-9f54ea13a97a /home/michaeljon/pipeline/fastq/Chip12/Sample_18_IonXpress_018_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
8	:	1686608676.944	   333.961	0	288	0	0		 ./hcov-panel a23eae62-7c91-4578-b9c4-bb57f6e9a83c /home/michaeljon/pipeline/fastq/Chip12/Sample_17_IonXpress_017_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
11	:	1686609010.944	    22.651	0	288	0	0		 ./hcov-panel 188bd804-aedb-4614-999b-cfd7d8b86cd4 /home/michaeljon/pipeline/fastq/Chip12/Sample_1_IonXpress_001_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
10	:	1686608957.912	   162.216	0	288	0	0		 ./hcov-panel 571a7598-2168-4aba-afb1-90773183be7b /home/michaeljon/pipeline/fastq/Chip12/Sample_19_IonXpress_019_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
12	:	1686609033.600	   190.068	0	288	0	0		 ./hcov-panel 9b6ffc09-a76d-453e-894a-441f7a78b08d /home/michaeljon/pipeline/fastq/Chip12/Sample_20_IonXpress_020_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
13	:	1686609120.143	   131.983	0	288	0	0		 ./hcov-panel 25dd00ff-6434-428d-9926-279591ab29b3 /home/michaeljon/pipeline/fastq/Chip12/Sample_21_IonXpress_021_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
14	:	1686609223.672	    85.963	0	288	0	0		 ./hcov-panel d1ee6bea-0157-44c2-b911-f5cacfcfdbf3 /home/michaeljon/pipeline/fastq/Chip12/Sample_22_IonXpress_022_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
16	:	1686609309.639	    72.644	0	288	0	0		 ./hcov-panel b6aec2e3-540f-4359-b2ce-3fb4fec5d37e /home/michaeljon/pipeline/fastq/Chip12/Sample_24_IonXpress_024_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
