organism,sequence,gene,start,stop
hev-a,NC_001612.1,5-prime-utr,1,750
hev-a,NC_001612.1,HEVAgp1,751,7332
hev-a,NC_001612.1,VP4 (1A),751,957
hev-a,NC_001612.1,VP2 (1B),958,1719
hev-a,NC_001612.1,VP3 (1C),1720,2445
hev-a,NC_001612.1,VP1 (1D),2446,3336
hev-a,NC_001612.1,2A,3337,3786
hev-a,NC_001612.1,2B,3787,4083
hev-a,NC_001612.1,2C,4084,5070
hev-a,NC_001612.1,3A,5071,5328
hev-a,NC_001612.1,3B,5329,5394
hev-a,NC_001612.1,3C,5395,5943
hev-a,NC_001612.1,3D,5944,7329
hev-a,NC_001612.1,3-prime-utr,7333,7413
hev-b,NC_001472.1,5-prime-utr,1,741
hev-b,NC_001472.1,HEVBgp1,742,7290
hev-b,NC_001472.1,1A (VP4),742,948
hev-b,NC_001472.1,1B (VP2),949,1737
hev-b,NC_001472.1,1C (VP3),1738,2451
hev-b,NC_001472.1,1D (VP1),2452,3285
hev-b,NC_001472.1,2A,3286,3735
hev-b,NC_001472.1,2B,3786,4032
hev-b,NC_001472.1,2C,4033,5019
hev-b,NC_001472.1,3A,5020,5286
hev-b,NC_001472.1,3B(VPg),5287,5352
hev-b,NC_001472.1,3C,5353,5901
hev-b,NC_001472.1,3D,5902,7287
hev-b,NC_001472.1,3-prime-utr,7288,7389
hev-d,NC_001430.1,5-prime-utr,1,726
hev-d,NC_001430.1,HEVDgp1,727,7311
hev-d,NC_001430.1,1A,727,983
hev-d,NC_001430.1,1B,984,1683
hev-d,NC_001430.1,1C,1684,2409
hev-d,NC_001430.1,1D,2410,3339
hev-d,NC_001430.1,2A,3340,3768
hev-d,NC_001430.1,2B,3769,4065
hev-d,NC_001430.1,2C,4066,5055
hev-d,NC_001430.1,3A,5056,5322
hev-d,NC_001430.1,VPg 3B,5323,5388
hev-d,NC_001430.1,3C,5389,5937
hev-d,NC_001430.1,3D-POL,5938,7308
hev-d,NC_001430.1,3-prime-utr,7309,7390
hcov-229e,AF304460.1,5-prime-utr,1,292
hcov-229e,AF304460.1,HCoV229Egp1,293,20568
hcov-229e,AF304460.1,S,20570,24091
hcov-229e,AF304460.1,4a,24091,24492
hcov-229e,AF304460.1,4b,24482,24748
hcov-229e,AF304460.1,E,24750,24983
hcov-229e,AF304460.1,M,24995,25672
hcov-229e,AF304460.1,N,25686,26855
hcov-229e,AF304460.1,3-prime-utr,26858,27317
hcov-hku1,AY597011.2,5-prime-utr,1,205
hcov-hku1,AY597011.2,orf1ab,206,21753
hcov-hku1,AY597011.2,HE,21773,22933
hcov-hku1,AY597011.2,S,22942,27012
hcov-hku1,AY597011.2,orf4,27051,27380
hcov-hku1,AY597011.2,E,27373,27621
hcov-hku1,AY597011.2,M,27633,28304
hcov-hku1,AY597011.2,N,28320,29645
hcov-hku1,AY597011.2,N2,28342,28959
hcov-hku1,AY597011.2,3-prime-utr,28960,29926
hcov-nl63,AY567487.2,5-prime-utr,1,286
hcov-nl63,AY567487.2,ORF1a/1b,287,20475
hcov-nl63,AY567487.2,spike protein,20472,24542
hcov-nl63,AY567487.2,ORF3,24542,25219
hcov-nl63,AY567487.2,E,25200,25433
hcov-nl63,AY567487.2,M,25442,26122
hcov-nl63,AY567487.2,N,26133,27266
hcov-nl63,AY567487.2,3-prime-utr,27267,27553
hcov-oc43,AY585228.1,5-prime-utr,1,209
hcov-oc43,AY585228.1,ORF1ab,210,21496
hcov-oc43,AY585228.1,ns2,21506,22342
hcov-oc43,AY585228.1,HE,22354,23628
hcov-oc43,AY585228.1,S,23643,27704
hcov-oc43,AY585228.1,ns12.9,27792,28121
hcov-oc43,AY585228.1,E,28108,28362
hcov-oc43,AY585228.1,M,28377,29069
hcov-oc43,AY585228.1,N,29079,30425
hcov-oc43,AY585228.1,3-prime-utr,30425,30741
sars-cov-2,MN908947.3,5-prime-utr,1,265
sars-cov-2,MN908947.3,orf1ab,266,21555
sars-cov-2,MN908947.3,S,21563,25384
sars-cov-2,MN908947.3,ORF3a,25393,26220
sars-cov-2,MN908947.3,E,26245,26472
sars-cov-2,MN908947.3,M,26523,27191
sars-cov-2,MN908947.3,ORF6,27202,27387
sars-cov-2,MN908947.3,ORF7a,27394,27759
sars-cov-2,MN908947.3,ORF8,27894,28259
sars-cov-2,MN908947.3,N,28274,29533
sars-cov-2,MN908947.3,ORF10,29558,29674
sars-cov-2,MN908947.3,3-prime-utr,29675,29903
hrv-a,NC_038311.1,5-prime-utr,1,618
hrv-a,NC_038311.1,HRV89gp1,619,7113
hrv-a,NC_038311.1,VP4,619,825
hrv-a,NC_038311.1,VP2,826,1626
hrv-a,NC_038311.1,VP3,1627,2340
hrv-a,NC_038311.1,VP1,2341,3234
hrv-a,NC_038311.1,P-2A,3235,3624
hrv-a,NC_038311.1,P-2B,3643,3927
hrv-a,NC_038311.1,P-2C,3928,4890
hrv-a,NC_038311.1,P-3A,4891,5118
hrv-a,NC_038311.1,VPg,5119,5181
hrv-a,NC_038311.1,3C,5182,5730
hrv-a,NC_038311.1,RNA polymerase,5731,7110
hrv-a,NC_038311.1,3-prime-utr,7113,7152
hrv-b,NC_038312.1,5-prime-utr,1,628
hrv-b,NC_038312.1,HRVBgp1,629,7168
hrv-b,NC_038312.1,1A (VP4),629,835
hrv-b,NC_038312.1,1B (VP2),836,1621
hrv-b,NC_038312.1,1C (VP3),1622,2329
hrv-b,NC_038312.1,1D (VP1),2330,3196
hrv-b,NC_038312.1,2A (P-2A),3197,3634
hrv-b,NC_038312.1,2B (P-2B),3635,3925
hrv-b,NC_038312.1,2C (P-2C),3926,4915
hrv-b,NC_038312.1,3A (P-3A),4916,5170
hrv-b,NC_038312.1,3B (VPg),5171,5239
hrv-b,NC_038312.1,pro-3C,5240,5785
hrv-b,NC_038312.1,3D,5786,7165
hrv-b,NC_038312.1,3-prime-utr,7169,7212
hrv-c,NC_038878.1,5-prime-utr,1,615
hrv-c,NC_038878.1,HRVC_gp1,616,7050
hrv-c,NC_038878.1,VP4,616,816
hrv-c,NC_038878.1,VP2,817,1599
hrv-c,NC_038878.1,VP3,1600,2304
hrv-c,NC_038878.1,VP1,2305,3126
hrv-c,NC_038878.1,2A,3127,3552
hrv-c,NC_038878.1,2B,3553,3849
hrv-c,NC_038878.1,2C,3850,4827
hrv-c,NC_038878.1,3A,4828,5052
hrv-c,NC_038878.1,3B,5053,5118
hrv-c,NC_038878.1,3C,5119,5667
hrv-c,NC_038878.1,3D,5668,7047
hrv-c,NC_038878.1,3-prime-utr,7051,7099
